"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2372","@smoke footers exist on product page","chromium","2026-06-29","passed","2026-06-29","","loginpagefix.spec.ts","",""
"","2384","@smoke login page title test","chromium","2026-06-29","passed","2026-06-29","","loginpagefix.spec.ts","",""
"","3210","@smoke user is able to login to app test","chromium","2026-06-29","passed","2026-06-29","","loginpagefix.spec.ts","",""
"","3189","@smoke footers exist on product page","chromium","2026-06-29","passed","2026-06-29","","productpage.spec.ts","",""
"","3075","@smoke footers exist on product page","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
"","3714","@smoke intercept and log requests","chromium","2026-06-29","passed","2026-06-29","","api/intercept.spec.ts","",""
"","3046","@smoke home page title test","chromium","2026-06-29","passed","2026-06-29","","homepagefix.spec.ts","",""
"","3174","@smoke comp logo exists on product page","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
"","1223","@smoke GET -- get all users","chromium","2026-06-29","passed","2026-06-29","","api/users.api.schema.spec.ts","",""
"","3162","@smoke logout link exist test","chromium","2026-06-29","passed","2026-06-29","","homepagefix.spec.ts","",""
"","2379","@smoke comp logo exists on product page","chromium","2026-06-29","passed","2026-06-29","","loginpagefix.spec.ts","",""
"","3225","@smoke logout link exist test","chromium","2026-06-29","passed","2026-06-29","","homepage.spec.ts","",""
"","3137","@smoke home page title test","chromium","2026-06-29","passed","2026-06-29","","homepage.spec.ts","",""
"","3248","@smoke home page headers exist test @junesprint","chromium","2026-06-29","passed","2026-06-29","","homepage.spec.ts","",""
"","220","@smoke mock search data api","chromium","2026-06-29","passed","2026-06-29","","api/intercept.spec.ts","",""
