"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2412","@smoke home page headers exist test @junesprint","chromium","2026-06-29","passed","2026-06-29","","homepage.spec.ts","",""
"","2659","@smoke home page title test","chromium","2026-06-29","passed","2026-06-29","","homepagefix.spec.ts","",""
"","2466","@smoke comp logo exists on product page","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
"","1661","@smoke comp logo exists on product page","chromium","2026-06-29","passed","2026-06-29","","loginpagefix.spec.ts","",""
"","2453","@smoke home page title test","chromium","2026-06-29","passed","2026-06-29","","homepage.spec.ts","",""
"","1756","@smoke footers exist on product page","chromium","2026-06-29","passed","2026-06-29","","loginpagefix.spec.ts","",""
"","1744","@smoke login page title test","chromium","2026-06-29","passed","2026-06-29","","loginpagefix.spec.ts","",""
"","2680","@smoke logout link exist test","chromium","2026-06-29","passed","2026-06-29","","homepagefix.spec.ts","",""
"","2360","@smoke footers exist on product page","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
"","2542","@smoke logout link exist test","chromium","2026-06-29","passed","2026-06-29","","homepage.spec.ts","",""
"","694","@smoke GET -- get all users","chromium","2026-06-29","passed","2026-06-29","","api/users.api.schema.spec.ts","",""
"","2994","@smoke intercept and log requests","chromium","2026-06-29","passed","2026-06-29","","api/intercept.spec.ts","",""
"","2552","@smoke footers exist on product page","chromium","2026-06-29","passed","2026-06-29","","productpage.spec.ts","",""
"","208","@smoke mock search data api","chromium","2026-06-29","passed","2026-06-29","","api/intercept.spec.ts","",""
"","2512","@smoke user is able to login to app test","chromium","2026-06-29","passed","2026-06-29","","loginpagefix.spec.ts","",""
